,rewards
0,0.0
1,0.0
2,0.0
3,0.0
4,2.000799999984002
5,1.6671665944338936
6,2.8582856571085804
7,2.500749824977516
8,2.222666414814838
9,3.001099849967023
10,2.727999709076401
11,3.334666488826702
12,3.077845784572371
13,2.8577137714286645
14,2.6669327111734558
15,2.4999993001401495
16,2.352705129642526
17,2.2217769929246356
18,2.6318943792379836
19,3.000999980175978
20,3.3349526222208192
21,3.1830453499485896
22,3.044347426038321
23,2.9172076819447654
24,2.8002391360899135
25,2.692268188676988
26,2.5922951065457718
27,2.4994629755589353
28,2.7588269522431292
29,2.6665991450629565
30,2.5803215362432446
31,2.4994362946876962
32,2.4234532051904742
33,2.351939724922899
34,2.284512744522425
35,2.220831722333456
36,2.431837212763743
37,2.367604452109303
38,2.3066656946154507
39,2.499750027183055
40,2.6834155628528955
41,2.6192624406745537
42,2.558093201767986
43,2.727955669598546
44,2.8902686468121828
45,3.0455244914926256
46,2.9804276082769743
47,2.9180431147385155
48,2.858204946203128
49,3.001741792707358
50,3.139649697310205
51,3.2722534066598445
52,3.3998531582234572
53,3.52272694965584
54,3.458330924751012
55,3.3962347806424904
56,3.336317470972565
57,3.2784662974081957
58,3.222576202181293
59,3.336200933587593
60,3.2811803517362836
61,3.390210711330514
62,3.336063558277508
63,3.44084483611542
64,3.3875692934678177
65,3.488410185483988
66,3.4360000174282335
67,3.385131347620263
68,3.481652299633267
69,3.57541546703788
70,3.524704221692968
71,3.6152788470101704
72,3.565397095809967
73,3.5168635236624772
74,3.469624203405579
75,3.4236280461488406
76,3.378826616970164
77,3.33517396478961
78,3.292626465164199
79,3.2511426748730985
80,3.2106831972742835
81,3.171210557513145
82,3.2541615341420673
83,3.2150991272638865
84,3.1769558571975285
85,3.1396996610309382
86,3.103299950008937
87,3.0677275257743095
88,3.032954502255557
89,3.1110570337376737
90,3.0765610250870647
91,3.1525026003259606
92,3.226810977842733
93,3.299538280968972
94,3.264478839298811
95,3.230149824400683
96,3.1965286457558495
97,3.266627314558825
98,3.2333067030633127
99,3.2006525253450246
100,3.168644986341254
101,3.1372650672662625
102,3.1064944879279333
103,3.1734631692318955
104,3.1429243390883794
105,3.112961734256676
106,3.0835591988869044
107,3.1482879093025353
108,3.1190915124804937
109,3.182329447155243
110,3.1533433325719815
111,3.1248748482400077
112,3.186400544446515
113,3.24684679694726
114,3.218290305417506
115,3.277428131512193
116,3.335555009654637
117,3.3069556202065717
118,3.278836914881466
119,3.251186876576224
120,3.2239938854473578
121,3.280209585835796
122,3.253214581775398
123,3.3082960329899045
124,3.281500169442283
125,3.2551296590328955
126,3.2291744540497933
127,3.203624820772026
128,3.1784713272994476
129,3.231624349866275
130,3.2066334196584187
131,3.1820211613984277
132,3.2339637179858953
133,3.2851309671760367
134,3.335540138022173
135,3.310681560834179
136,3.2861859047879256
137,3.2620452802933517
138,3.311191709720359
139,3.3596360024162317
140,3.335473704093489
141,3.3116517422195106
142,3.2881629768687723
143,3.3354425661382368
144,3.3121067246943063
145,3.289090574555447
146,3.2663875914092846
147,3.2439914272762116
148,3.2218959045921802
149,3.2000950105281842
150,3.1785828915354553
151,3.1573538481059824
152,3.136402329738499
153,3.1157229301006035
154,3.0953103823781487
155,3.1402607081138947
156,3.119945441224047
157,3.099887350600889
158,3.080081583862004
159,3.060523409934535
160,3.1043189713892922
161,3.1475738004833747
162,3.1279490583941247
163,3.1705384416690916
164,3.1510062447048015
165,3.1317093966366953
166,3.112643669640262
167,3.1543281929433107
168,3.1353482491183122
169,3.1165916198779313
170,3.0980543874224096
171,3.138871978503389
172,3.1792176436657997
173,3.160628403181
174,3.1422516324712575
175,3.1240837098926493
176,3.1636183201587547
177,3.1455287854962566
178,3.127641389761181
179,3.1099527639713735
180,3.0924596135973252
181,3.0751587165167678
182,3.113692164283536
183,3.1518067237372973
184,3.1895091876615744
185,3.226806202758523
186,3.2637042735548527
187,3.246017530404419
188,3.2824288312720014
189,3.2648243619152644
190,3.247404254612332
191,3.2832499525372385
192,3.318724147055757
193,3.301285080488674
194,3.3363081203182032
195,3.3189520989159034
196,3.353535013810659
197,3.336262162653135
198,3.3704155937574845
199,3.3532259803412092
200,3.3362074305407217
201,3.319357403807236
202,3.302673409652042
203,3.336174310930672
204,3.3693483290416246
205,3.3526547242060776
206,3.3361224329376866
207,3.319749128598427
208,3.3035325290792312
209,3.287470395739775
210,3.3199559898157776
211,3.3039631112670604
212,3.2881204229779075
213,3.2724258194773523
214,3.256877234465981
215,3.241472639909184
216,3.2732954179141194
217,3.257952160684715
218,3.242749046615989
219,3.2741412963596126
220,3.2589978988278263
221,3.2439909504059434
222,3.2749644121229164
223,3.26001562163052
224,3.245199731395749
225,3.2757656716825436
226,3.261006439833188
227,3.246376697064387
228,3.2318747470125984
229,3.2174989228162563
230,3.2475407989410705
231,3.2332169780944855
232,3.219016130458617
233,3.2049366794538003
234,3.1909770753357685
235,3.220512103456293
236,3.2066002732720977
237,3.2358257074513523
238,3.2648065313558385
239,3.2935458026140783
240,3.279549070205087
241,3.265668035567441
242,3.2940573164593436
243,3.2802264132338905
244,3.2665084376501343
245,3.2529020125416697
246,3.2394057830443805
247,3.2260184161467977
248,3.2539033246342597
249,3.240560976752848
250,3.268169782351489
251,3.2955594246244275
252,3.3227325023463687
253,3.3093171671747728
254,3.2960070728512174
255,3.2828009860844696
256,3.3096126719731593
257,3.296452258086917
258,3.2833934914739396
259,3.3099013559465664
260,3.2968872069354735
261,3.283972425039547
262,3.310183452507267
263,3.3361958659878304
264,3.3232712075303894
265,3.3104437496123573
266,3.2977124000927938
267,3.323394515512157
268,3.3107058723806255
269,3.298111241779002
270,3.285609582978125
271,3.2731998705536727
272,3.2985163652013942
273,3.2861463906739248
274,3.273866402023423
275,3.2616754211424817
276,3.249572484047987
277,3.274533330575949
278,3.2993152003868693
279,3.287200166121219
280,3.275171382305547
281,3.263227931381825
282,3.2877102948675323
283,3.275803191065423
284,3.2639796682666975
285,3.288209718786143
286,3.2764217877670476
287,3.264715739771914
288,3.2886987712454077
289,3.3125163566249807
290,3.3007998796422533
291,3.289163675070344
292,3.2776069210073837
293,3.2661288067338403
294,3.2547285325229898
295,3.243405309455225
296,3.232158359236119
297,3.22098691401815
298,3.209890216226003
299,3.2332073153818994
300,3.2221403379191496
301,3.2111466737527734
302,3.200225597008496
303,3.1893763913630204
304,3.178598349887453
305,3.1678907748937997
306,3.1908330405620124
307,3.180151934607355
308,3.1695399838087326
309,3.158996518922646
310,3.1485208793132293
311,3.1711706865177116
312,3.160719802725079
313,3.1503355067340926
314,3.1400171643751587
315,3.1297641495061463
316,3.119575843885772
317,3.1094516370493723
318,3.0993909261870116
319,3.0893931160238792
320,3.111617648028507
321,3.1016407672481328
322,3.0917256840980145
323,3.113743534048649
324,3.135625842284969
325,3.12569141379322
