,moves
0,3.0
1,4.5001499850015
2,3.333199995558222
3,4.25017499749925
4,4.000039984001599
5,4.500283324995055
6,3.9999428057211435
7,5.375912556212876
8,7.669311324285634
9,7.4021399138150334
10,6.819545065301889
11,6.334049393803497
12,6.154291624596442
13,11.864972976360447
14,11.13962704255898
15,11.068293473203019
16,10.475092932955292
17,10.059103705417197
18,9.84508194222961
19,9.401987142335194
20,9.096520573616182
21,9.456524488850862
22,9.959519549267224
23,9.585347070478429
24,9.241108445059888
25,9.193254084006135
26,9.334611517753975
27,9.251007239185437
28,9.207748175019958
29,8.933362492563989
30,9.388487459705084
31,9.125533860731606
32,9.334518253338787
33,9.64924507240856
34,9.401282732304242
35,9.278596534116986
36,9.054044337866026
37,9.079030115415877
38,8.922564561521888
39,8.723727096534235
40,9.073323352617294
41,8.999848602279185
42,8.976498525909037
43,8.84008418800873
44,9.156135354381622
45,9.152725812568466
46,8.97846451813708
47,9.188229188742566
48,9.24588810914614
49,9.421829536377423
50,9.255868688709088
51,9.250923002886609
52,9.265130143034888
53,9.316044741824177
54,9.365107882998323
55,9.59197399233384
56,9.63445705057732
57,9.658135331455556
58,9.629868046338913
59,9.518717113698857
60,9.708066279824909
61,9.58298281542761
62,9.493813542264462
63,9.438878107227323
64,9.323699920843504
65,9.22726223111006
66,9.118679235425757
67,9.087312997384657
68,8.9693068523263
69,8.96974835788504
70,8.913444164766736
71,8.8027531222674
72,9.095221791941052
73,9.107537984852609
74,9.012067898838335
75,9.051678354248057
76,8.959400436168133
77,8.88240813560494
78,8.820122251715864
79,8.721596556507746
80,8.812174064333853
81,8.814483225668313
82,8.816736743329308
83,8.722905952225677
84,8.6312829957405
85,8.612152922165558
86,8.605056004665881
87,8.517880970707177
88,8.432664976258776
89,8.405394120491405
90,8.323281662612505
91,8.242954306887686
92,8.327133014251062
93,8.248457722297672
94,8.267068839699194
95,8.243228513630537
96,8.334373814777626
97,8.258805062570183
98,8.317367031111102
99,8.314161842000521
100,8.291019490610507
101,8.446589628401314
102,8.383360894657365
103,8.593361135111707
104,8.529911986644427
105,8.458126683235317
106,8.510470765855361
107,8.496334763306393
108,8.426815719697435
109,8.358560708287898
110,8.300644024193543
111,8.315985864224718
112,8.29526003894074
113,8.274897839962987
114,8.210914051524908
115,8.461960474170509
116,8.397440454798309
117,8.462625577096095
118,8.4671948168387
119,8.421090618907504
120,8.409204588955895
121,8.347735691459647
122,8.28726633740307
123,8.26042875636727
124,8.250219791803543
125,8.240172882667048
126,8.182442410775938
127,8.165174652703827
128,8.140323053524629
129,8.084686000510795
130,8.029898415626224
131,7.983616412770185
132,8.044688978110083
133,8.014101555841934
134,7.961446017523581
135,7.909564872040115
136,7.8658401386797605
137,7.815403044300482
138,7.780279646218399
139,7.731172864040383
140,7.761874009841027
141,7.713580688067454
142,7.673055606766309
143,7.661270251782231
144,7.621662163096181
145,7.582596688722704
146,7.557867776459606
147,7.512903399460728
148,7.4685426149063385
149,7.458605750735647
150,7.415188822494502
151,7.372343212746941
152,7.330057719169505
153,7.288321430408183
154,7.266778109762913
155,7.33014250681095
156,7.295660252739815
157,7.255185530902202
158,7.330225372502041
159,7.3090788134646685
160,7.307128193703399
161,7.267565204788862
162,7.290836484467741
163,7.369601243440955
164,7.348842714128389
165,7.309962228420459
166,7.277635381517882
167,7.2517457392241
