,rewards
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.1429428628537145
7,0.1250624962463758
8,0.222355557028742
9,0.20009998599180281
10,0.18189088362982267
11,0.2501416541546989
12,0.23087689229662284
13,0.214364240706225
14,0.20005327732996958
15,0.1875311856277047
16,0.23539996705554206
17,0.2779499901700265
18,0.26329469893054147
19,0.25010493848537363
20,0.23817134729247733
21,0.2273226295447244
22,0.21741728001013938
23,0.25009993833636984
24,0.24007191520772814
25,0.2308152800160609
26,0.2222443229905928
27,0.2500963668036524
28,0.2760275751693926
29,0.2667999511031442
30,0.29052258190141633
31,0.2814155815201187
32,0.2728605223805827
33,0.2943176211077786
34,0.2858799267826832
35,0.3057860955432547
36,0.2974918225883802
37,0.31604735721899996
38,0.3079127495817389
39,0.3001848743351849
40,0.2928339705727003
41,0.285833111759708
42,0.30251148820933177
43,0.29560662507041957
44,0.289008646672699
45,0.3045346289690381
46,0.3193999266098867
47,0.3336458323862146
48,0.3268040021717748
49,0.32023584731107774
50,0.3139252692539024
51,0.327186407559379
52,0.33994712112861913
53,0.3336183844109442
54,0.32751978576896473
55,0.32163899637719595
56,0.315964552590889
57,0.3104857813614846
58,0.30519273323693585
59,0.30007612206199913
60,0.29512727060964333
61,0.3065656677056954
62,0.3016693177311704
63,0.31264961171828337
64,0.3232920459659404
65,0.3336119777350281
66,0.32859976331962965
67,0.3237349691477732
68,0.3336027001672664
69,0.3288039923872788
70,0.3383237770753427
71,0.33359139875724964
72,0.32898867684850985
73,0.3245103550082024
74,0.3201514572335888
75,0.31590726941681135
76,0.31177332233873234
77,0.30774537597093904
78,0.3038194049700016
79,0.29999158525966163
80,0.29625828160693285
81,0.30491019200363495
82,0.30120637327795424
83,0.29759074271264896
84,0.2940601877844105
85,0.29061174073845614
86,0.2872425702684988
87,0.2954127472011922
88,0.30339931996775577
89,0.29999812860950986
90,0.3077598862208507
91,0.3043841403466338
92,0.31193289617503867
93,0.30858350813626484
94,0.30530463558422405
95,0.3020940749099543
96,0.3093582642077663
97,0.3061708321785809
98,0.30304779475560567
99,0.29998722010065276
100,0.29698725288397737
101,0.29404611053386387
102,0.30097017008868765
103,0.29804632018860827
104,0.2951781646557546
105,0.3018974794882907
106,0.30849119499246586
107,0.30560412665766196
108,0.30277003409389536
109,0.29998747250740876
110,0.30636350731730466
111,0.3035976477872428
112,0.3098297728197262
113,0.3159525577137857
114,0.3219688548208628
115,0.3191612238543659
116,0.3250481125853257
117,0.3222611168576945
118,0.31952096354953036
119,0.3252593616193989
120,0.33090290562050273
121,0.3364539280299469
122,0.3336850271668665
123,0.33096078822853375
124,0.3282801393287525
125,0.32564204260945984
126,0.3310191245845163
127,0.33631218517319694
128,0.34152317836123597
129,0.34665399801172964
130,0.3439732390705043
131,0.34133309999422956
132,0.33873266454534773
133,0.34373341079089353
134,0.34866006750665984
135,0.34606162981985544
136,0.3435011278509687
137,0.3409777369104771
138,0.34578462453307096
139,0.34328024844189853
140,0.34081139771962
141,0.3455193244324023
142,0.3501614016227705
143,0.3476947911866575
144,0.3452622052982408
145,0.34286294482297597
146,0.3473988404300525
147,0.35187343576638125
148,0.3562879650656067
149,0.3606436296484761
150,0.3582192614189568
151,0.3625055712735206
152,0.36010006257850746
153,0.3577257966773872
154,0.3553821688709203
155,0.3530685899649758
156,0.3572537788635691
157,0.3613859863633865
158,0.35907702292727073
159,0.3567969239504886
160,0.3545451515859688
161,0.35232118126681433
162,0.3563593803941412
163,0.3603483288569309
164,0.3581283921917628
165,0.3620592314009587
166,0.36594299039439093
167,0.36372818425122083
168,0.3675567025859199
169,0.3713401752666646
170,0.3750793925680914
171,0.3728612010423792
172,0.3765489812315588
173,0.3801943689392769
174,0.38379809089379285
175,0.38736085730681485
176,0.39088336234006876
177,0.39436628455614087
178,0.39212367726259023
179,0.3899059904737123
180,0.39333770377000077
181,0.39113715922581144
182,0.3945251913137176
183,0.397876392878326
184,0.40119136117137183
185,0.39899427425551176
186,0.4022683503385778
187,0.4055075917876602
188,0.40871255153346325
189,0.4065205260672488
190,0.4096871515796643
191,0.4075123550372723
192,0.4053600980008872
193,0.40323003192144274
194,0.4063501375853224
195,0.40423623760054356
196,0.4073200723219047
197,0.4103727531893107
198,0.4133947498588577
199,0.4163865225935199
200,0.4193485224968092
201,0.42228119173949497
202,0.425184963779622
203,0.4280602635760577
204,0.43090750779578924
205,0.4287725549938451
206,0.4315893372986727
207,0.4343790313093609
208,0.43225713880561795
209,0.43501756615384524
210,0.43775182448685124
211,0.4404602841208955
212,0.44314330841794175
213,0.44580125394814113
214,0.4436830764622125
215,0.4415845147380297
216,0.4442138348658054
217,0.44213162526874145
218,0.44473489754471973
219,0.44731449994374944
220,0.44987075377638397
221,0.44779920067692847
222,0.4457462295667297
223,0.4482761573617182
224,0.45078359316607386
225,0.44874376610338146
226,0.45122749643696897
227,0.44920316979889563
228,0.45166364461917236
229,0.4541027202834456
230,0.45652067470283914
231,0.4589177809969056
232,0.46129430759645007
233,0.4636505183437168
234,0.46163101582852156
235,0.45962863087775063
236,0.46196290396294165
237,0.4642775576516334
238,0.4665728382124082
239,0.46884898780937184
240,0.46685649879726043
241,0.46911308445846184
242,0.4713510937883768
243,0.4735707551845282
244,0.47159027236462503
245,0.4696258942387795
246,0.47182640646545426
247,0.4698765077376127
248,0.46794227404410765
249,0.46602351740452086
250,0.4641200528341377
251,0.4663003752100103
252,0.4644104611754389
253,0.4665728721346895
254,0.4687183193759075
255,0.4668403092084451
256,0.4689684150049832
257,0.46710359907250104
258,0.46921464730974943
259,0.4713094530982541
260,0.47338820313283575
261,0.471533815945217
262,0.46969353377487894
263,0.4678671963375275
264,0.4699287164093719
265,0.4719747327165601
266,0.4740054194587026
267,0.47602094823541585
268,0.478021488094649
269,0.48000720557993737
270,0.47818771379624425
271,0.4801585932473156
272,0.478351503364744
273,0.48030777033487215
274,0.4785129099521457
275,0.48045478489869264
276,0.4786719851753711
277,0.48059968361195365
278,0.48251355987558864
279,0.4844137620609941
280,0.48264115676569697
281,0.4808811264354546
282,0.47913353776674317
283,0.47739825933355307
284,0.4756751615544505
285,0.47756120356419407
286,0.47943409885396226
287,0.4812939843687629
288,0.47958019051402095
289,0.4814270966240531
290,0.48326130567606845
291,0.4850829481193014
292,0.48689215262210944
293,0.4851870659837854
294,0.4869839971406268
295,0.48876878336155516
296,0.49054154732269917
297,0.492302410053528
298,0.49405149096438744
299,0.49578890787348556
300,0.4975147770333398
301,0.4992292131566992
302,0.5009323294419533
303,0.502624237598039
304,0.504305047868858
305,0.5059748690572152
306,0.5076338085482897
307,0.5092819723326476
308,0.510919465028809
309,0.509219893019411
310,0.5075312542224818
311,0.5091592708813104
312,0.5107768815140397
313,0.5123841855413096
314,0.5139812811212757
315,0.5155682651695853
