,rewards
0,1.0
1,0.49995000499950004
2,0.3332666755546667
3,0.5000000099980002
4,0.6000400079968004
5,0.49998333499805603
6,0.4285142857142861
7,0.3749125012523751
8,0.3221022254870513
9,0.38995302390224784
10,0.4454673098144691
11,0.408304189968822
12,0.3768584756915054
13,0.3499050086464482
14,0.32654533938719826
15,0.3061056308289165
16,0.2880705957890789
17,0.2720394553479445
18,0.25769580509519147
19,0.24478652150256242
20,0.2331066950471822
21,0.22248867248306214
22,0.2127939576504724
23,0.20390713708297145
24,0.1957312634687484
25,0.1881843044670401
26,0.18119638067645583
27,0.17470759546723205
28,0.16866631381371053
29,0.16302778536032078
30,0.15775303399092078
31,0.15280795560388621
32,0.14816257992809273
33,0.14379046260666586
34,0.13966818149494536
35,0.1357749169087888
36,0.13209209994071772
37,0.15501638127090125
38,0.151026480991137
39,0.14723607671066813
40,0.1681184930752557
41,0.1640992400098717
42,0.18362054207414655
43,0.1794293798805392
44,0.17542449273673388
45,0.1934308224450374
46,0.18929631500824426
47,0.18533407995590126
48,0.18153356999916406
49,0.17788508163229583
50,0.17437967240883323
51,0.17100908776281012
52,0.18673189078197694
53,0.1832555354899266
54,0.1799055943233227
55,0.176675295096873
56,0.1735583408663583
57,0.18788869769820632
58,0.1846856398492624
59,0.18158935181291047
60,0.17859458261476016
61,0.19192402628472163
62,0.18885868890287213
63,0.18431678145784805
64,0.18146295426745596
65,0.17869560788783445
66,0.19103495415928104
67,0.1867262926602665
68,0.18400167324897346
69,0.18135490132384255
70,0.19296600297960895
71,0.19026684852902942
72,0.186261896398721
73,0.18372642701220604
74,0.19469080151015536
75,0.1921098220732723
76,0.18959588233679145
77,0.18714640385069659
78,0.18475893871940263
79,0.1824311614421038
80,0.18016086135754025
81,0.17794593564158676
82,0.17578438281103978
83,0.17247391353685454
84,0.17042771875310722
85,0.1801561219899603
86,0.189660878324814
87,0.18748683864667623
88,0.1853616550392853
89,0.19449397906450264
90,0.19233739179800696
91,0.1902276881430159
92,0.19901525871660425
93,0.19687832691090965
94,0.1947863844539108
95,0.20325395050809747
96,0.21154692226506644
97,0.21967064444820597
98,0.21742993576129654
99,0.2253333560988885
100,0.22207991949428849
101,0.22978386527499484
102,0.2275301243555916
103,0.23503447592655197
104,0.24239588236473641
105,0.24008503703327252
106,0.23687286702165222
107,0.24401472460726428
108,0.24175179601391553
109,0.23953001319096995
110,0.23734826409057744
111,0.2352054763808825
112,0.24204964495700573
113,0.23990232267129935
114,0.2465874926968241
115,0.2444372018532218
116,0.2423236697521811
117,0.24882006401988696
118,0.24670437247071758
119,0.2446239440974959
120,0.24257790460660186
121,0.23973577953772046
122,0.2377628359886288
123,0.23582171570106872
124,0.2339116549167619
125,0.23122830269456934
126,0.2293845733740865
127,0.2275696538605449
128,0.23363444694856889
129,0.23181397860094713
130,0.2300213052165355
131,0.22825579509162305
132,0.23413530395831905
133,0.23236468687284895
134,0.230620302709595
135,0.2289015728011537
136,0.23460691217112636
137,0.24022956032901013
138,0.23847733348508968
139,0.24399272955419238
140,0.24942988798133647
141,0.24764845907232427
142,0.25298471124546884
143,0.251202633820478
144,0.2564414638300827
145,0.25465942728236646
146,0.2529016378404067
147,0.2511676040088145
148,0.2562680623679333
149,0.2613005096177707
150,0.2595439593787106
151,0.2578105233874137
152,0.25609974842333355
153,0.25441119303788584
154,0.2527444271747079
155,0.25760914713556216
156,0.25529566875221055
157,0.2600833636799033
158,0.2584216418651702
159,0.2567806933121505
160,0.2545290233804164
161,0.25293242844510483
162,0.2575903044296984
163,0.255993894231856
164,0.25441683618452954
165,0.2528587805500568
166,0.2513193859677256
167,0.24979831920445966
168,0.24829525491435622
169,0.2527921867004094
170,0.2512885994168151
171,0.2498024974000713
172,0.25421390280611283
173,0.2585745973746582
174,0.2628854504343572
175,0.26136549497911005
176,0.26561243837589227
177,0.26981165835355386
178,0.26827734465432457
179,0.26676008069528867
180,0.2652595838840648
181,0.26377557783909295
182,0.2623077922199402
183,0.26085596256313953
184,0.25941983012335296
185,0.2579991417196582
186,0.2565936495867679
187,0.2606223348088632
188,0.25921729736787835
189,0.2578270515460122
190,0.256451365014166
191,0.25509001028343053
192,0.25374276457969264
193,0.2576641599798519
194,0.256317008735763
195,0.2549836056659749
196,0.2536637414074244
197,0.25184214683930867
198,0.2556766550863011
199,0.25437266667945896
200,0.25308165500260005
201,0.2568540805315777
202,0.2550604347533264
203,0.2587867196368858
204,0.25749842133427714
205,0.26117718254669864
206,0.26482039517031986
207,0.26352068719720795
208,0.26711830545306026
209,0.2658195472898426
210,0.2645331014311541
211,0.26325879364626725
212,0.2615169473718927
213,0.2597913824844016
214,0.2585570112202042
215,0.2620639375815244
216,0.26553853703862623
217,0.26898125445717264
218,0.2672594169887075
219,0.26601780639553524
220,0.26478743390145243
221,0.263568147640252
222,0.2669443781365085
223,0.2702904587442692
224,0.27360679146205624
225,0.2768937711733737
226,0.27564620349729785
227,0.2739609546544518
228,0.2727371385507532
229,0.27152396617789337
230,0.2703212993055983
231,0.27353966902945936
232,0.2767304083282784
233,0.279893871438283
234,0.27867474980465134
235,0.27746596160360903
236,0.27583540031725096
237,0.27464874714497206
238,0.2777564844708785
239,0.28083831907651075
240,0.2838945734023796
241,0.28692556455940055
242,0.28571599982597695
243,0.2845163515005482
244,0.2829082960626191
245,0.28172986024455376
246,0.28470994959548235
247,0.28353333980655837
248,0.28236618262790647
249,0.2812083646281995
250,0.2800597741837809
251,0.28298897836829956
252,0.28184202488020427
253,0.28070410444076493
254,0.279575110778817
255,0.2824616317679087
256,0.2809350369604312
257,0.2837943421005261
258,0.2866315627854182
259,0.2855003381692004
260,0.28830966813631126
261,0.2871802826739773
262,0.28996224522279473
263,0.2927231274581974
264,0.295463168025253
265,0.2939367241002189
266,0.2928062982557702
267,0.2955161536598107
268,0.294387879843419
269,0.29326796561873536
270,0.29215631844414974
271,0.29105284713895824
272,0.28995746185843796
273,0.29262023722098934
274,0.2915267457069841
275,0.29416490586294114
276,0.2930733627474033
277,0.2919896744607452
278,0.2945985372467388
279,0.2971887604819403
280,0.2961012637760421
281,0.29502148183502147
282,0.29394933287691394
283,0.2928847362716138
284,0.2918276125206659
285,0.29077788323748166
286,0.2933203796426987
287,0.2922724002723783
288,0.29479247999628183
289,0.2937462976208753
290,0.2962443397003783
291,0.2987252670908546
292,0.2976756706629458
293,0.30013519650100534
294,0.30257804280087014
295,0.3050043786119251
296,0.30394673433513447
297,0.30635253258568834
298,0.3087422337939377
299,0.311115998930317
300,0.31005107688461886
301,0.30899320942503633
302,0.3079423267041771
303,0.3102884975563615
304,0.3126192789591601
305,0.3115661750418201
306,0.31051993387009363
307,0.3128279235224324
308,0.31512097002326495
309,0.3137400714091831
310,0.31601579778217487
311,0.31497110410840656
312,0.3172286796517211
313,0.3161864498079073
314,0.3151508394637392
315,0.3173870592862528
316,0.31960916578635806
317,0.3185719128189162
318,0.31721761261376097
319,0.3158717796462627
320,0.3180719380091665
321,0.3202584261143439
322,0.32243137093014484
323,0.3245908978574089
324,0.32324168454431335
325,0.32190075151807934
326,0.32404277740983783
327,0.32302218893662754
328,0.3220078068661801
329,0.3241306544214103
330,0.3231187415647523
331,0.32211292678757103
332,0.3242169474940239
333,0.32630836463241114
334,0.3253014186491204
335,0.32430046862676404
336,0.32637362646823237
337,0.3253751221547252
338,0.32743317810803274
339,0.3264371279152091
340,0.3254469219028481
341,0.32446250880620264
342,0.32318220962804217
343,0.3222101381926673
344,0.32124370416975917
345,0.3202828586800129
346,0.3193275534075736
347,0.3213521560643825
348,0.3233651517448578
349,0.3224086365213812
350,0.32145757374562234
