,rewards
0,1.0
1,0.49995000499950004
2,0.3332666755546667
3,0.24992501249875002
4,0.19992001599839992
5,0.1665833527758331
6,0.14277145142628525
7,0.12491252624737421
8,0.11102225184888767
9,0.2000000479903977
10,0.27280005816290614
11,0.2500417074780266
12,0.2307846430541548
13,0.21427858926393176
14,0.2667333750805341
15,0.2500375237183795
16,0.23530589173459693
17,0.22221110923279083
18,0.2632210862795849
19,0.2500350134636621
20,0.23810475869678085
21,0.2272590740631625
22,0.2173564938932508
23,0.20827913012908214
24,0.19992795680196712
25,0.19221918270763005
26,0.18508143015353978
27,0.2142643064505198
28,0.2068551779572665
29,0.19993999270023124
30,0.1934709497210701
31,0.18740622318123204
32,0.1817090570407783
33,0.17634701949976292
34,0.17129138524966228
35,0.16651662068289982
36,0.1619999525819073
37,0.15772100490991312
38,0.1536614914800709
39,0.14980495472421898
40,0.1461365426906016
41,0.16655008111480066
42,0.16266053513291892
43,0.1589477877597751
44,0.155400052421453
45,0.1520065674635073
46,0.14875748711697748
47,0.1456437860936497
48,0.1426571758635316
49,0.13979003097903026
50,0.13703532406687371
51,0.13438656832096482
52,0.1508039611730839
53,0.14799646992833287
54,0.16357123383299968
55,0.1606342266092523
56,0.15780027332834434
57,0.17240387235255333
58,0.18651242866749795
59,0.1833855141873821
60,0.19685310953071827
61,0.19365865478375643
62,0.19056561257680169
63,0.18756922919704055
64,0.20014831725234555
65,0.19709601534658439
66,0.19413482823320571
67,0.2060653547537006
68,0.21765006366061304
69,0.21451927648988778
70,0.2256599973517966
71,0.22250352845694038
72,0.21943353963523848
73,0.21644652493777836
74,0.21353916539958953
75,0.21070831673806834
76,0.22103694910476337
77,0.2181812686712485
78,0.21539788539197563
79,0.21268408812365974
80,0.22248199417864226
81,0.23204092175444302
82,0.2292222638884309
83,0.22647071844620123
84,0.22378391675397252
85,0.23288661127192095
86,0.2301866697914013
87,0.2390108655845191
88,0.23630165155544386
89,0.23365264385399276
90,0.24215005317188737
91,0.23949396613931742
92,0.23689500085169032
93,0.23435133427459187
94,0.23186122013295155
95,0.2294229849131601
96,0.2270350241124788
97,0.23499916668320311
98,0.24280241238775174
99,0.24035027473034143
100,0.2379466958563213
101,0.2454935088056856
102,0.24308568628263288
103,0.24072416966010923
104,0.2384076359123839
105,0.23613481193922545
106,0.24334966876272476
107,0.25043091207628954
108,0.24810848144220404
109,0.24582827847625105
110,0.24358916189010119
111,0.24139003115572255
112,0.23922982470182774
113,0.2459789308697326
114,0.24381551026655418
115,0.24168939164828757
116,0.2395996185537797
117,0.23754526694428946
118,0.23552544384120142
119,0.2419721660509084
120,0.23994830608387258
121,0.2462539140751568
122,0.24422732850603562
123,0.24223343143558537
124,0.24837103501450405
125,0.25441121128196886
126,0.2523826299870583
127,0.25829787238344354
128,0.2641214006270238
129,0.2620633794060483
130,0.2600367801124013
131,0.2580408886113688
132,0.2560750122459729
133,0.2541384790355631
134,0.25223063691002673
135,0.250350852977784
136,0.24849851282584115
137,0.24667301985027687
138,0.24487379461562792
139,0.24310027424172995
140,0.2413519118166503
141,0.23962817583442622
142,0.2379285496563946
143,0.23625253099496626
144,0.23459963141876133
145,0.23296937587808167
146,0.23136130224975143
147,0.2297749609004104
148,0.2282099142673926
149,0.22666573645636964
150,0.2318643504486958
151,0.230315780367818
152,0.22878745458146613
153,0.2272789787202645
154,0.2257899685921116
155,0.23083016518702426
156,0.2293368571951478
157,0.2278624533789561
158,0.22640659705588717
159,0.224968940460443
160,0.2235491444672622
161,0.22214687832444907
162,0.22076181939671882
163,0.21939365291793994
164,0.22420260168272926
165,0.22282957884330576
166,0.2214730008921334
167,0.22013257417049142
168,0.2248251232737534
169,0.22946246069338477
170,0.22809763671498495
171,0.22674868432031473
172,0.2312956536482535
173,0.22994324213993078
174,0.22860628831365767
175,0.22728452868621526
176,0.2259777057288077
177,0.23040355667060605
178,0.23477995157171577
179,0.23910771469948908
180,0.2377627594778889
181,0.24202712819955538
182,0.2406803623574468
183,0.24488306925986408
184,0.24353487496802967
185,0.24220117903353688
186,0.24632941091090965
187,0.250413720337246
188,0.2544548044943162
189,0.25309010108758345
190,0.257075384564531
191,0.2610191496513225
192,0.2596405894812463
193,0.258276243026752
194,0.26215421380101467
195,0.2659926084561357
196,0.2697920296741402
197,0.26840242808869186
198,0.26702679416375086
199,0.27076506492067154
200,0.274466134019999
201,0.2730799007620376
202,0.271707326822579
203,0.27034821132928916
204,0.26900235732929445
205,0.2676695716940487
206,0.2712807696674178
207,0.2699493549209746
208,0.2735155698611305
209,0.2721857075047422
210,0.27570799806621815
211,0.27919705456463784
212,0.28265334508540474
213,0.28130420587863464
214,0.2799676187104468
215,0.2786434092469687
216,0.2773314063678554
217,0.27603144209258507
218,0.27474335150877294
219,0.2734669727024413
220,0.2722021466901822
221,0.2709487173531536
222,0.2742911110395755
223,0.27760365700171835
224,0.27634202338143177
225,0.2796166259783723
226,0.27835679025586485
227,0.27710800761328874
228,0.28033725195080195
229,0.2790902732263153
230,0.27785409274945394
231,0.27662857088770204
232,0.2754135704056684
233,0.27420895641386595
234,0.2773702530802956
235,0.2761671233045316
236,0.2792939055487336
237,0.2823944074142581
238,0.28118450030085035
239,0.2842517074607718
240,0.2830437099636762
241,0.2818456978413182
242,0.28065754781746266
243,0.27947913863679646
244,0.278310351023685
245,0.2771510676419349
246,0.27600117305553407
247,0.27486055369034135
248,0.27372909779670007
249,0.27260669541294785
250,0.2714932383297995
251,0.2703886200555774
252,0.2692927357822669
253,0.27224292297153924
254,0.27114796023432747
255,0.27006155373994345
256,0.2729751015295294
257,0.2718896375575095
258,0.2747740182635553
259,0.2776362064848683
260,0.27654457305731095
261,0.2754612745938318
262,0.27828897359016286
263,0.27720688594295795
264,0.28000703752572825
265,0.28278613042867595
266,0.2855444012661914
267,0.2844502398830283
268,0.28336421546862084
269,0.2860904506976015
270,0.28879656123960135
271,0.28770577970161176
272,0.2903865183096833
273,0.28929752148901966
274,0.2919533430296445
275,0.2908661888254285
276,0.2897868860954725
277,0.28871535011163263
278,0.2876514973605055
279,0.29026723001846744
280,0.29286434051541643
281,0.29179636254725533
282,0.2907359341196754
283,0.293304676526428
284,0.295855387842551
285,0.29479117030150465
286,0.2973192794397538
287,0.2998298274622473
288,0.2987621920201649
289,0.2977019216233988
290,0.29664894034364203
291,0.2991284414083711
292,0.3015910127585773
293,0.30053484702798605
294,0.3029762983658436
295,0.30192224172905774
296,0.3043429215538857
297,0.3032910082817837
298,0.3056912568194357
299,0.30464151924915633
300,0.30359875876432485
301,0.3059748195712036
302,0.30833519205741766
303,0.3106800310419324
304,0.3130094893133007
305,0.31195507091512026
306,0.31090752382860987
307,0.30986678112540383
308,0.31216970875709776
309,0.31445777407899084
310,0.3167311204574272
311,0.3156840620503804
312,0.31793928797541915
313,0.3201801447294344
314,0.3191314537748395
315,0.3180894022924954
316,0.31705392744827443
317,0.3192703464881168
318,0.3214728648157268
319,0.3204358789202496
320,0.3226213591265038
321,0.32158692777879405
322,0.3205589037849816
323,0.3195372278177099
324,0.32169951965186633
325,0.32068029700396183
326,0.3196673103346843
327,0.3186605026076382
328,0.31765981747987937
329,0.3166651992914087
330,0.3187985219525227
331,0.31780615529879475
332,0.3199235433296125
333,0.31893344217360986
334,0.3179492542601447
335,0.31697092679240263
336,0.31906657287964113
337,0.32114981401511045
338,0.32017009282731723
339,0.3191961369058688
340,0.3182278955299408
341,0.32029012240442994
342,0.32234031995926393
343,0.32437859310131295
344,0.3264050455211357
345,0.32841977971055614
346,0.3304228969799364
347,0.33241449747515156
348,0.3314284942725711
349,0.3304481276543531
350,0.32947334944455653
